;a_complect_vals;Значения комплектующих;20;1;model_id;a_complect_id;site_id;price;other_complects;available_id;amount;dop_services;feed;;Устройство;Комплектующие;Сайт;Цена;Другие комплектующие;Доступность;Количество;Доп. услуги;Фид текста;;186;3;3;3;2;7;3;2;7;2;;1;1;1;1;0;0;1;0;0;;
;a_defect_vals;Значения неисправностей;20;1;model_id;a_defect_id;site_id;dop_reasons;dop_services;other_defects;feed;;;;Устройство;Неисправность;Сайт;Причины;Доп. услуги;Другие неисправности;Фид текста;;;;187;3;3;3;7;7;7;2;;;;1;1;1;0;0;0;0;;;;
;a_service_model_vals;Значения услуг (модели);20;1;m_model_id;site_id;marka_id;model_type_id;a_service_id;other_services;dop_defects;feed;sublineyka_id;;Модель;Сайт;Марка;Тип;Услуга;Другие услуги;Неисправности к услуге;Фид текста;Подлинейка;;188;3;3;3;3;3;7;7;2;3;;0;1;0;0;1;0;0;0;0;;
;a_complect_model_vals;Значения комплектующих (модели);20;1;m_model_id;site_id;marka_id;model_type_id;a_complect_id;other_complects;dop_services;feed;sublineyka_id;;Модель;Сайт;Марка;Тип;Комплектующие;Другие комплектующие;Доп. услуги;Фид текста;Подлинейка;;189;3;3;3;3;3;7;7;2;3;;0;1;0;0;1;0;0;0;0;;
;a_defect_model_vals;Значения неисправностей (модели);20;1;m_model_id;site_id;marka_id;model_type_id;a_defect_id;dop_reasons;dop_services;other_defects;feed;sublineyka_id;Модель;Сайт;Марка;Тип;Неисправность;Причины;Доп. услуги;Другие неисправности;Фид текста;Подлинейка;190;3;3;3;3;3;7;7;7;2;3;0;1;0;0;1;0;0;0;0;0;
БАЗА;v_defects;неисправности;21;0;name;name2;;;;;;;;;Код;Второй код;;;;;;;;;191;1;1;;;;;;;;;1;0;;;;;;;;;
;v_defect_syns;синонимы неисправностей;21;0;v_defect_id;name;weight;;;;;;;;Код;Название;Вес;;;;;;;;192;3;1;2;;;;;;;;1;1;0;;;;;;;;
;v_services;услуги;21;0;name;name2;dop;;;;;;;;код;Второй код;Дополнительно;;;;;;;;193;1;1;5;;;;;;;;1;0;0;;;;;;;;
;v_service_syns;синонимы услуг;21;0;v_service_id;name;weight;dat;tp;rp;;;;;Код;Название;Вес;Дат. падеж;Твор. падеж;Род. падеж;;;;;194;3;1;2;1;1;1;;;;;1;1;0;0;0;0;;;;;
;v_complects;комплектующие;21;0;name;name2;;;;;;;;;код;второй код;;;;;;;;;195;1;1;;;;;;;;;1;0;;;;;;;;;
