srt.acer-centre.com;Acer Centre;;2;14;78452398786;124;46714167;4
srt.apple.centre.services;Apple Centre;;2;14;78452398786;124;46714176;21
srt.asus-centre.com;Asus Centre;;2;14;78452398786;124;46714179;3
srt.canon-centre.com;Сanon Centre;;2;14;78452398786;124;46714182;23
srt.dell.centre.services;Dell Centre;;2;14;78452398786;124;46714188;9
srt.hp-centre.com;HP Centre;;2;14;78452398786;124;46714191;6
srt.htc-centre.com;HTC Centre;;2;14;78452398786;124;46714197;10
srt.huawei-centre.com;Huawei Centre;;2;14;78452398786;124;46714203;17
srt.lenovo-centre.com;Lenovo Centre;;2;14;78452398786;124;46714209;5
srt.lg-centre.com;LG Centre;;2;14;78452398786;124;46714212;12
srt.meizu-centre.com;Meizu Centre;;2;14;78452398786;124;46714224;20
srt.msi.centre.services;Msi Centre;;2;14;78452398786;124;46714227;8
srt.photo.centre.services;Nikon Centre;;2;14;78452398786;124;46714230;22
srt.nokia-centre.com;Nokia Centre;;2;14;78452398786;124;46714233;11
srt.sam-centre.com;Samsung Centre;;2;14;78452398786;124;46714239;2
srt.centre.services;Sony Centre;;2;14;78452398786;124;46714242;1
srt.toshiba-centre.com;Toshiba Centre;;2;14;78452398786;124;46714248;7
srt.xiaomi-centre.com;Xiaomi Centre;;2;14;78452398786;124;46714260;18
