acer.kazan.support;Acer Support;3;10;78432110002;24;42535964;4
apple.kazan.support;Apple Support;3;10;78432110002;24;42535969;21
asus.kazan.support;Asus Support;3;10;78432110002;24;42535979;3
dell.kazan.support;Dell Support;3;10;78432110002;24;42536014;9
hp.kazan.support;HP Support;3;10;78432110002;24;42536019;6
htc.kazan.support;HTC Support;3;10;78432110002;24;42536029;10
huawei.kazan.support;Huawei Support;3;10;78432110002;24;42536029;17
lenovo.kazan.support;Lenovo Support;3;10;78432110002;24;42536044;5
meizu.kazan.support;Meizu Support;3;10;78432110002;24;42536054;20
samsung.kazan.support;Samsung Support;3;10;78432110002;24;42536079;2
sony.kazan.support;Sony Support;3;10;78432110002;24;42536089;1
toshiba.kazan.support;Toshiba Support;3;10;78432110002;24;42536104;7
xiaomi.kazan.support;Xiaomi Support;3;10;78432110002;24;42536109;18
