acer-krd.remont-centre.com;ACER REMONT CENTRE;;5;1;78612012474;123;46674624;4;;
apple-krd.remont-centre.com;APPLE REMONT CENTRE;;5;1;78612012474;123;46674636;21;;
asus-krd.remont-centre.com;ASUS REMONT CENTRE;;5;1;78612012474;123;46674645;3;;
dell-krd.remont-centre.com;DELL REMONT CENTRE;;5;1;78612012474;123;46674648;9;;
hp-krd.remont-centre.com;HP REMONT CENTRE;;5;1;78612012474;123;46674660;6;;
htc-krd.remont-centre.com;HTC REMONT CENTRE;;5;1;78612012474;123;46674663;10;;
huawei-krd.remont-centre.com;HUAWEI REMONT CENTRE;;5;1;78612012474;123;46674669;17;;
lenovo-krd.remont-centre.com;LENOVO REMONT CENTRE;;5;1;78612012474;123;46674672;5;;
meizu-krd.remont-centre.com;MEIZU REMONT CENTRE;;5;1;78612012474;123;46674678;20;;
msi-krd.remont-centre.com;MSI REMONT CENTRE;;5;1;78612012474;123;46674681;8;;
samsung-krd.remont-centre.com;SAMSUNG REMONT CENTRE;;5;1;78612012474;123;46674690;2;;
sony-krd.remont-centre.com;SONY REMONT CENTRE;;5;1;78612012474;123;46674693;1;;
toshiba-krd.remont-centre.com;TOSHIBA REMONT CENTRE;;5;1;78612012474;123;46674699;7;;
xiaomi-krd.remont-centre.com;XIAOMI REMONT CENTRE;;5;1;78612012474;123;46674705;18;;
