acer.peterburg.support;Acer Support;3;6;78126435225;20;42532164;4
apple.peterburg.support;Apple Support;3;6;78126435225;20;42532184;21
asus.peterburg.support;Asus Support;3;6;78126435225;20;42532189;3
dell.peterburg.support;Dell Support;3;6;78126435225;20;42532199;9
hp.peterburg.support;HP Support;3;6;78126435225;20;42532209;6
htc.peterburg.support;HTC Support;3;6;78126435225;20;42532224;10
huawei.peterburg.support;Huawei Support;3;6;78126435225;20;42532229;17
lenovo.peterburg.support;Lenovo Support;3;6;78126435225;20;42532244;5
meizu.peterburg.support;Meizu Support;3;6;78126435225;20;42532249;20
samsung.peterburg.support;Samsung Support;3;6;78126435225;20;42532269;2
sony.peterburg.support;Sony Support;3;6;78126435225;20;42532274;1
toshiba.peterburg.support;Toshiba Support;3;6;78126435225;20;42532284;7
xiaomi.peterburg.support;Xiaomi Support;3;6;78126435225;20;42532299;18
acer.nnovgorod.support;Acer Support;3;7;78312157570;21;42532314;4
apple.nnovgorod.support;Apple Support;3;7;78312157570;21;42532329;21
asus.nnovgorod.support;Asus Support;3;7;78312157570;21;42532334;3
dell.nnovgorod.support;Dell Support;3;7;78312157570;21;42532339;9
hp.nnovgorod.support;HP Support;3;7;78312157570;21;42532354;6
htc.nnovgorod.support;HTC Support;3;7;78312157570;21;42532364;10
huawei.nnovgorod.support;Huawei Support;3;7;78312157570;21;42532369;17
lenovo.nnovgorod.support;Lenovo Support;3;7;78312157570;21;42532374;5
meizu.nnovgorod.support;Meizu Support;3;7;78312157570;21;42532379;20
samsung.nnovgorod.support;Samsung Support;3;7;78312157570;21;42532384;2
sony.nnovgorod.support;Sony Support;3;7;78312157570;21;42532404;1
toshiba.nnovgorod.support;Toshiba Support;3;7;78312157570;21;42532414;7
xiaomi.nnovgorod.support;Xiaomi Support;3;7;78312157570;21;42532424;18
acer.ekaterinburg.support;Acer Support;3;2;73432396111;22;42532434;4
apple.ekaterinburg.support;Apple Support;3;2;73432396111;22;42532464;21
asus.ekaterinburg.support;Asus Support;3;2;73432396111;22;42532479;3
dell.ekaterinburg.support;Dell Support;3;2;73432396111;22;42532489;9
hp.ekaterinburg.support;HP Support;3;2;73432396111;22;42532499;6
htc.ekaterinburg.support;HTC Support;3;2;73432396111;22;42532509;10
huawei.ekaterinburg.support;Huawei Support;3;2;73432396111;22;42532524;17
lenovo.ekaterinburg.support;Lenovo Support;3;2;73432396111;22;42532529;5
meizu.ekaterinburg.support;Meizu Support;3;2;73432396111;22;42532559;20
samsung.ekaterinburg.support;Samsung Support;3;2;73432396111;22;42532574;2
sony.ekaterinburg.support;Sony Support;3;2;73432396111;22;42532584;1
toshiba.ekaterinburg.support;Toshiba Support;3;2;73432396111;22;42532599;7
xiaomi.ekaterinburg.support;Xiaomi Support;3;2;73432396111;22;42532614;18
