acerrnd.ruexpert.net;Acer RuExpert;Асер РуЭксперт;6;12;78633109686;197;48619670;4
applernd.ruexpert.net;Apple RuExpert;Эпл РуЭксперт;6;12;78633109686;197;48619688;21
canonrnd.ruexpert.net;Canon RuExpert;Кэнон РуЭксперт;6;12;78633109686;197;48619703;23
dellrnd.ruexpert.net;Dell RuExpert;Делл РуЭксперт;6;12;78633109686;197;48619709;9
highscreenrnd.ruexpert.net;Highscreen RuExpert;Хайскрин РуЭксперт;6;12;78633109686;197;48619715;45
hprnd.ruexpert.net;HP RuExpert;НР РуЭксперт;6;12;78633109686;197;48619718;6
htcrnd.ruexpert.net;HTC RuExpert;НТС РуЭксперт;6;12;78633109686;197;48619730;10
huaweirnd.ruexpert.net;Huawei RuExpert;Хуавей РуЭксперт;6;12;78633109686;197;48619739;17
irbisrnd.ruexpert.net;Irbis RuExpert;Ирбис РуЭксперт;6;12;78633109686;197;48619751;47
leecornd.ruexpert.net;LeEco RuExpert;ЛиЕко РуЭксперт;6;12;78633109686;197;48619760;49
lenovornd.ruexpert.net;Lenovo RuExpert;Леново РуЭксперт;6;12;78633109686;197;48619772;5
lgrnd.ruexpert.net;LG RuExpert;ЛДжи РуЭксперт;6;12;78633109686;197;48619778;12
meizurnd.ruexpert.net;Meizu RuExpert;Мейзу РуЭксперт;6;12;78633109686;197;48619787;20
msirnd.ruexpert.net;MSI RuExpert;МСИ РуЭксперт;6;12;78633109686;197;48619796;8
nikonrnd.ruexpert.net;Nikon RuExpert;Никон РуЭксперт;6;12;78633109686;197;48619802;22
nokiarnd.ruexpert.net;Nokia RuExpert;Нокиа РуЭксперт;6;12;78633109686;197;48619808;11
samsungrnd.ruexpert.net;Samsung RuExpert;Самсунг РуЭксперт;6;12;78633109686;197;48619820;2
sonyrnd.ruexpert.net;Sony RuExpert;Сони РуЭксперт;6;12;78633109686;197;48619832;1
texetrnd.ruexpert.net;teXet RuExpert;Тексет РуЭксперт;6;12;78633109686;197;48619844;61
