acer-ufa.remont-centre.com;ACER REMONT CENTRE;5;22;73472250400;28;42764984;4;;
apple-ufa.remont-centre.com;APPLE REMONT CENTRE;5;22;73472250400;28;42765039;21;;
asus-ufa.remont-centre.com;ASUS REMONT CENTRE;5;22;73472250400;28;42765049;3;;
dell-ufa.remont-centre.com;DELL REMONT CENTRE;5;22;73472250400;28;42765064;9;;
hp-ufa.remont-centre.com;HP REMONT CENTRE;5;22;73472250400;28;42765084;6;;
htc-ufa.remont-centre.com;HTC REMONT CENTRE;5;22;73472250400;28;42765099;10;;
huawei-ufa.remont-centre.com;HUAWEI REMONT CENTRE;5;22;73472250400;28;42765124;17;;
lenovo-ufa.remont-centre.com;LENOVO REMONT CENTRE;5;22;73472250400;28;42765144;5;;
meizu-ufa.remont-centre.com;MEIZU REMONT CENTRE;5;22;73472250400;28;42765174;20;;
msi-ufa.remont-centre.com;MSI REMONT CENTRE;5;22;73472250400;28;42765214;8;;
samsung-ufa.remont-centre.com;SAMSUNG REMONT CENTRE;5;22;73472250400;28;42765229;2;;
sony-ufa.remont-centre.com;SONY REMONT CENTRE;5;22;73472250400;28;42765239;1;;
toshiba-ufa.remont-centre.com;TOSHIBA REMONT CENTRE;5;22;73472250400;28;42765249;7;;
xiaomi-ufa.remont-centre.com;XIAOMI REMONT CENTRE;5;22;73472250400;28;42765254;18;;
acer-prm.remont-centre.com;ACER REMONT CENTRE;5;23;73422079616;29;42765269;4;;
apple-prm.remont-centre.com;APPLE REMONT CENTRE;5;23;73422079616;29;42765289;21;;
asus-prm.remont-centre.com;ASUS REMONT CENTRE;5;23;73422079616;29;42765319;3;;
dell-prm.remont-centre.com;DELL REMONT CENTRE;5;23;73422079616;29;42765334;9;;
hp-prm.remont-centre.com;HP REMONT CENTRE;5;23;73422079616;29;42765349;6;;
htc-prm.remont-centre.com;HTC REMONT CENTRE;5;23;73422079616;29;42765354;10;;
huawei-prm.remont-centre.com;HUAWEI REMONT CENTRE;5;23;73422079616;29;42765364;17;;
lenovo-prm.remont-centre.com;LENOVO REMONT CENTRE;5;23;73422079616;29;42765394;5;;
meizu-prm.remont-centre.com;MEIZU REMONT CENTRE;5;23;73422079616;29;42765424;20;;
msi-prm.remont-centre.com;MSI REMONT CENTRE;5;23;73422079616;29;42765479;8;;
samsung-prm.remont-centre.com;SAMSUNG REMONT CENTRE;5;23;73422079616;29;42765444;2;;
sony-prm.remont-centre.com;SONY REMONT CENTRE;5;23;73422079616;29;42765489;1;;
toshiba-prm.remont-centre.com;TOSHIBA REMONT CENTRE;5;23;73422079616;29;42765494;7;;
xiaomi-prm.remont-centre.com;XIAOMI REMONT CENTRE;5;23;73422079616;29;42765529;18;;
