acer-tula.remont-centre.net;ACER REMONT CENTRE;;5;28;74872570304;230;49226647;4
apple-tula.remont-centre.net;APPLE REMONT CENTRE;;5;28;74872570304;230;49226650;21
asus-tula.remont-centre.net;ASUS REMONT CENTRE;;5;28;74872570304;230;49226653;3
dell-tula.remont-centre.net;DELL REMONT CENTRE;;5;28;74872570304;230;49226656;9
hp-tula.remont-centre.net;HP REMONT CENTRE;;5;28;74872570304;230;49226659;6
htc-tula.remont-centre.net;HTC REMONT CENTRE;;5;28;74872570304;230;49226662;10
huawei-tula.remont-centre.net;HUAWEI REMONT CENTRE;;5;28;74872570304;230;49226665;17
lenovo-tula.remont-centre.net;LENOVO REMONT CENTRE;;5;28;74872570304;230;49226668;5
meizu-tula.remont-centre.net;MEIZU REMONT CENTRE;;5;28;74872570304;230;49226671;20
msi-tula.remont-centre.net;MSI REMONT CENTRE;;5;28;74872570304;230;49226674;8
tula.galaxy-centre.net;SAMSUNG REMONT CENTRE;;5;28;74872570304;230;49226677;2
sony-tula.remont-centre.net;SONY REMONT CENTRE;;5;28;74872570304;230;49226680;1
toshiba-tula.remont-centre.net;TOSHIBA REMONT CENTRE;;5;28;74872570304;230;49226683;7
xiaomi-tula.remont-centre.net;XIAOMI REMONT CENTRE;;5;28;74872570304;230;49226689;18
