30;0;300;;Диагностика;Тестирование;Полная диагностика;Комплексная диагностика
60;800;1200;1;Ремонт блока питания;Восстановление блока питания;Замена блока питания;
60;800;1500;;Ремонт платы управления;Восстановление платы управления;Восстановление платы;
120;1100;2000;;Ремонт материнской платы ;Восстановление материнской платы;Ремонт системной платы;Восстановление системной платы
30;700;1200;1;Замена лампы;Замена проекционной лампы;Замена главной лампы;
60;500;800;;Профилактическая чистка ;Чистка;;
60;900;1300;;Ремонт системы охлаждения;Восстановление системы охлаждения;Замена системы охлаждения;
