30;0;0;Диагностика;Тестирование;Полная диагностика;Проверка
20;300;450;Замена АКБ;Замена батареи;Замена аккумулятора;
40;600;750;Замена AUDIO разъема;Ремонт audio разъема;;
40;600;750;Замена разъема питания;Ремонт разъема питания;;
60;600;750;Замена кнопки включения;Ремонт кнопки включения;;
60;600;750;Замена USB разъема;Ремонт USB;;
30;600;750;Замена экрана;Замена дисплея;Замена дисплейного модуля;
60;900;1050;Ремонт платы;Замена платы;Замена материнской платы;
