1;1;планшет;Asus;Fonepad;14;Asus Fonepad 7;
2;1;планшет;Asus;Fonepad;14;Asus Fonepad 8;
3;1;планшет;Asus;Fonepad;14;Asus Fonepad 7 FE170CG;
4;1;планшет;Asus;Fonepad;14;Asus Fonepad 7 FE171CG;
5;1;планшет;Asus;Fonepad;14;Asus Fonepad 7 FE375CXG;
6;1;планшет;Asus;Fonepad;14;Asus Fonepad 8 FE380CG;
7;1;планшет;Asus;Fonepad;14;Asus Fonepad 8 FE380CXG;
8;1;планшет;Asus;Fonepad;14;Asus Fonepad 7 ME371MG;
9;1;планшет;Asus;Fonepad;14;Asus Fonepad 7 ME372CG;
10;1;планшет;Asus;Fonepad;14;Asus Fonepad 7 ME372CL;
11;1;планшет;Asus;Fonepad;14;Asus Fonepad 7 ME373CG;
12;2;планшет;Asus;Memo Pad;12;Asus Memo Pad 7;
13;2;планшет;Asus;Memo Pad;12;Asus Memo Pad 8;
14;2;планшет;Asus;Memo Pad;12;Asus Memo Pad 10;
15;2;планшет;Asus;Memo Pad;12;Asus Memo Pad 10 ME102A;
16;2;планшет;Asus;Memo Pad;12;Asus Memo Pad 10 ME103K;
17;2;планшет;Asus;Memo Pad;12;Asus Memo Pad 7 ME170;
18;2;планшет;Asus;Memo Pad;12;Asus Memo Pad 7 ME170C;
19;2;планшет;Asus;Memo Pad;12;Asus Memo Pad 7 ME172V;
20;2;планшет;Asus;Memo Pad;12;Asus Memo Pad 7 ME173;
21;2;планшет;Asus;Memo Pad;12;Asus Memo Pad 7 ME173X;
22;2;планшет;Asus;Memo Pad;12;Asus Memo Pad 7 ME175CG;
23;2;планшет;Asus;Memo Pad;12;Asus Memo Pad 7 ME176C;
24;2;планшет;Asus;Memo Pad;12;Asus Memo Pad 7 ME176CX;
25;2;планшет;Asus;Memo Pad;12;Asus Memo Pad 8 ME180A;
26;2;планшет;Asus;Memo Pad;12;Asus Memo Pad 8 ME181C;
27;2;планшет;Asus;Memo Pad;12;Asus Memo Pad 8 ME181CX;
28;2;планшет;Asus;Memo Pad;12;Asus Memo Pad SMART 10 ME301;
29;2;планшет;Asus;Memo Pad;12;Asus Memo Pad SMART 10 ME301T;
30;2;планшет;Asus;Memo Pad;12;Asus Memo Pad 10 ME302;
