тип;марка;линейка;модель;популярн;модель целиком;;;;;;;;;;;;;;;
планшет;acer;Aspire;Switch 10 V 64Gb ;;acer Aspire Switch 10 V 64Gb ;;;;;;;;;;;;;;;
планшет;acer;Aspire;Switch 11 32Gb Z3745 ;;acer Aspire Switch 11 32Gb Z3745 ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab 7 A1-713HD 16Gb ;;acer Iconia Tab 7 A1-713HD 16Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A100 8Gb ;;acer Iconia Tab A100 8Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A1-810 8Gb ;;acer Iconia Tab A1-810 8Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A1-811 8Gb ;;acer Iconia Tab A1-811 8Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A1-841 16Gb ;;acer Iconia Tab A1-841 16Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A200 16Gb ;;acer Iconia Tab A200 16Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A200 32Gb ;;acer Iconia Tab A200 32Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A210 16Gb ;;acer Iconia Tab A210 16Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A211 16Gb ;;acer Iconia Tab A211 16Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A3-A11 16Gb ;;acer Iconia Tab A3-A11 16Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A3-A11 32Gb ;;acer Iconia Tab A3-A11 32Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A3-A20 32Gb ;;acer Iconia Tab A3-A20 32Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A3-A20FHD 32Gb ;;acer Iconia Tab A3-A20FHD 32Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A3-A30 32Gb ;;acer Iconia Tab A3-A30 32Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A3-A40 32Gb ;;acer Iconia Tab A3-A40 32Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A500 16Gb ;;acer Iconia Tab A500 16Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A500 32Gb ;;acer Iconia Tab A500 32Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A500 64Gb ;;acer Iconia Tab A500 64Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A501 32Gb ;;acer Iconia Tab A501 32Gb ;;;;;;;;;;;;;;;
