тип;марка;линейка;модель;популярн;модель целиком;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 3 128Gb Wi-Fi ;;apple iPad mini 3 128Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 3 128Gb Wi-Fi Cellular ;;apple iPad mini 3 128Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 3 16Gb Wi-Fi ;;apple iPad mini 3 16Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 3 16Gb Wi-Fi Cellular ;;apple iPad mini 3 16Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 3 64Gb Wi-Fi ;;apple iPad mini 3 64Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 3 64Gb Wi-Fi Cellular ;;apple iPad mini 3 64Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 32Gb Wi-Fi ;;apple iPad mini 32Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 32Gb Wi-Fi Cellular ;;apple iPad mini 32Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 4 128Gb Wi-Fi ;;apple iPad mini 4 128Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 4 128Gb Wi-Fi Cellular ;;apple iPad mini 4 128Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 4 16Gb Wi-Fi ;;apple iPad mini 4 16Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 4 16Gb Wi-Fi Cellular ;;apple iPad mini 4 16Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 4 32Gb Wi-Fi ;;apple iPad mini 4 32Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 4 32Gb Wi-Fi Cellular ;;apple iPad mini 4 32Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 4 64Gb Wi-Fi ;;apple iPad mini 4 64Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 4 64Gb Wi-Fi Cellular ;;apple iPad mini 4 64Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 64Gb Wi-Fi ;;apple iPad mini 64Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 64Gb Wi-Fi Cellular ;;apple iPad mini 64Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini with Retina display 16Gb Wi-Fi ;;apple iPad mini with Retina display 16Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini with Retina display 16Gb Wi-Fi Cellular ;;apple iPad mini with Retina display 16Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini with Retina display 32Gb Wi-Fi ;;apple iPad mini with Retina display 32Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini with Retina display 32Gb Wi-Fi Cellular ;;apple iPad mini with Retina display 32Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;Pro 10 5 256Gb Wi-Fi ;;apple iPad Pro 10 5 256Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;Pro 10 5 256Gb Wi-Fi Cellular ;;apple iPad Pro 10 5 256Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;Pro 10 5 64Gb Wi-Fi ;;apple iPad Pro 10 5 64Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;Pro 10 5 64Gb Wi-Fi Cellular ;;apple iPad Pro 10 5 64Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;Pro 12 9 128Gb Wi-Fi ;;apple iPad Pro 12 9 128Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;Pro 12 9 2017 64Gb Wi-Fi ;;apple iPad Pro 12 9 2017 64Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;Pro 12 9 2017 64Gb Wi-Fi Cellular ;;apple iPad Pro 12 9 2017 64Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;Pro 12 9 256Gb Wi-Fi ;;apple iPad Pro 12 9 256Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;Pro 12 9 32Gb Wi-Fi ;;apple iPad Pro 12 9 32Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;Pro 128Gb Wi-Fi ;;apple iPad Pro 128Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;Pro 128Gb Wi-Fi Cellular ;;apple iPad Pro 128Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
ноутбук;apple;macbook;pro 15 with retina display late 2016 ;;apple macbook pro 15 with retina display late 2016 ;;;;;;;;;;;;;;;
планшет;apple;iPad;Pro 32Gb Wi-Fi ;;apple iPad Pro 32Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;Pro 9 7 128Gb Wi-Fi ;;apple iPad Pro 9 7 128Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;Pro 9 7 128Gb Wi-Fi Cellular ;;apple iPad Pro 9 7 128Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;Pro 9 7 32Gb Wi-Fi ;;apple iPad Pro 9 7 32Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;Pro 9 7 32Gb Wi-Fi Cellular ;;apple iPad Pro 9 7 32Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
телефон;apple;iPhone;SE 16Gb;;apple iPhone SE 16Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;X 10;;apple iPhone X 10;;;;;;;;;;;;;;;
телефон;apple;iPhone;X 256Gb;;apple iPhone X 256Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;X 64Gb;;apple iPhone X 64Gb;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z300C 16Gb ;;asus ZenPad 10 Z300C 16Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z300C 8Gb ;;asus ZenPad 10 Z300C 8Gb ;;;;;;;;;;;;;;;
планшет;ASUS;ZenPad;10 Z300CG 16Gb ;;ASUS ZenPad 10 Z300CG 16Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z300CG 1Gb 16Gb ;;asus ZenPad 10 Z300CG 1Gb 16Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z300CG 1Gb 8Gb ;;asus ZenPad 10 Z300CG 1Gb 8Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z300CG 2Gb 16Gb ;;asus ZenPad 10 Z300CG 2Gb 16Gb ;;;;;;;;;;;;;;;
планшет;ASUS;ZenPad;10 Z300CG 8Gb ;;ASUS ZenPad 10 Z300CG 8Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z300CL 32Gb ;;asus ZenPad 10 Z300CL 32Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z300CNG 16Gb ;;asus ZenPad 10 Z300CNG 16Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z300CNL 16Gb ;;asus ZenPad 10 Z300CNL 16Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z300CNL 32Gb ;;asus ZenPad 10 Z300CNL 32Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z300M 16Gb ;;asus ZenPad 10 Z300M 16Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z301M 16Gb ;;asus ZenPad 10 Z301M 16Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z301M 32Gb ;;asus ZenPad 10 Z301M 32Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z301MF 16Gb ;;asus ZenPad 10 Z301MF 16Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z301MF 32Gb ;;asus ZenPad 10 Z301MF 32Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z301MFL 16Gb ;;asus ZenPad 10 Z301MFL 16Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z301MFL 32Gb ;;asus ZenPad 10 Z301MFL 32Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z301ML 16Gb ;;asus ZenPad 10 Z301ML 16Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z301ML 32Gb ;;asus ZenPad 10 Z301ML 32Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z500KL 32Gb ;;asus ZenPad 10 Z500KL 32Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 Z500M 64Gb ;;asus ZenPad 10 Z500M 64Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 ZD300CL 16Gb ;;asus ZenPad 10 ZD300CL 16Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;10 ZD300CL 32Gb ;;asus ZenPad 10 ZD300CL 32Gb ;;;;;;;;;;;;;;;
ноутбук;asus;vivobook;15 x542uq ;;asus vivobook 15 x542uq ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;2 16Gb ;1;ASUS ZenFone 2 16Gb ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;2 32Gb ;;ASUS ZenFone 2 32Gb ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;2 Laser ZE500KL 16GB ;1;ASUS ZenFone 2 Laser ZE500KL 16GB ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;2 ZE500KL ;1;ASUS ZenFone 2 ZE500KL ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;2 ZE551ML 16Gb ;;ASUS ZenFone 2 ZE551ML 16Gb ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;2 ZE551ML 32Gb ;;ASUS ZenFone 2 ZE551ML 32Gb ;;;;;;;;;;;;;;;
телефон;ASUS;Zenfone;3 Laser ZC551KL ;1;ASUS Zenfone 3 Laser ZC551KL ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;3 Max 16Gb ;1;ASUS ZenFone 3 Max 16Gb ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;3 Max 32Gb ;;ASUS ZenFone 3 Max 32Gb ;;;;;;;;;;;;;;;
телефон;ASUS;Zenfone;3 Max ZC553KL ;1;ASUS Zenfone 3 Max ZC553KL ;;;;;;;;;;;;;;;
планшет;asus;Transformer;3 T303UA i5 8Gb 256Gb ;;asus Transformer 3 T303UA i5 8Gb 256Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;3 T303UA i7 6500U 16Gb 512Gb ;;asus Transformer 3 T303UA i7 6500U 16Gb 512Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;3 T305CA 4Gb 128Gb ;;asus Transformer 3 T305CA 4Gb 128Gb ;;;;;;;;;;;;;;;
планшет;ASUS;Transformer;3 T305CA 4Gb 256Gb ;;ASUS Transformer 3 T305CA 4Gb 256Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;3 T305CA 8Gb 256Gb ;;asus Transformer 3 T305CA 8Gb 256Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;3 T305CA 8Gb 512Gb ;;asus Transformer 3 T305CA 8Gb 512Gb ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;3 Ultra 64Gb ;;ASUS ZenFone 3 Ultra 64Gb ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;3 Ultra ZU680KL 64GB ;;ASUS ZenFone 3 Ultra ZU680KL 64GB ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;3 ZE520KL 32GB ;;ASUS ZenFone 3 ZE520KL 32GB ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;3 Zoom 64Gb ;;ASUS ZenFone 3 Zoom 64Gb ;;;;;;;;;;;;;;;
телефон;ASUS;Zenfone;3 Zoom ZE553KL ;1;ASUS Zenfone 3 Zoom ZE553KL ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;3 Zoom ZE553KL 64GB ;;ASUS ZenFone 3 Zoom ZE553KL 64GB ;;;;;;;;;;;;;;;
телефон;ASUS;Zenfone;4 Max ;1;ASUS Zenfone 4 Max ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;4 Max Plus ZC550TL ;;ASUS ZenFone 4 Max Plus ZC550TL ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;4 Max Pro ;;ASUS ZenFone 4 Max Pro ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;4 Max ZC520KL ;1;ASUS ZenFone 4 Max ZC520KL ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;4 Max ZC520KL 16Gb ;;ASUS ZenFone 4 Max ZC520KL 16Gb ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;4 Max ZC520KL 32Gb ;;ASUS ZenFone 4 Max ZC520KL 32Gb ;;;;;;;;;;;;;;;
телефон;ASUS;Zenfone;4 Max ZC554KL ;1;ASUS Zenfone 4 Max ZC554KL ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;4 Selfie ;;ASUS ZenFone 4 Selfie ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;4 ZE554KL ;1;ASUS ZenFone 4 ZE554KL ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;4 ZE554KL 4GB ;;ASUS ZenFone 4 ZE554KL 4GB ;;;;;;;;;;;;;;;
телефон;ASUS;Zenfone;5 16Gb ;;ASUS Zenfone 5 16Gb ;;;;;;;;;;;;;;;
телефон;ASUS;Zenfone;5 8Gb ;;ASUS Zenfone 5 8Gb ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;5 A501CG 16GB ;;ASUS ZenFone 5 A501CG 16GB ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;5 A501CG 8GB ;;ASUS ZenFone 5 A501CG 8GB ;;;;;;;;;;;;;;;
телефон;ASUS;Zenfone;5 Lite ;;ASUS Zenfone 5 Lite ;;;;;;;;;;;;;;;
телефон;ASUS;Zenfone;5 Lite A502CG ;;ASUS Zenfone 5 Lite A502CG ;;;;;;;;;;;;;;;
планшет;asus;Nexus;7 16Gb ;;asus Nexus 7 16Gb ;;;;;;;;;;;;;;;
планшет;asus;Nexus;7 2013 16Gb ;;asus Nexus 7 2013 16Gb ;;;;;;;;;;;;;;;
планшет;asus;Nexus;7 2013 32Gb ;;asus Nexus 7 2013 32Gb ;;;;;;;;;;;;;;;
планшет;asus;Nexus;7 2013 32Gb LTE ;;asus Nexus 7 2013 32Gb LTE ;;;;;;;;;;;;;;;
планшет;asus;Nexus;7 32Gb ;;asus Nexus 7 32Gb ;;;;;;;;;;;;;;;
планшет;asus;Nexus;7 32Gb 3G ;;asus Nexus 7 32Gb 3G ;;;;;;;;;;;;;;;
планшет;asus;Nexus;7 8Gb ;;asus Nexus 7 8Gb ;;;;;;;;;;;;;;;
планшет;asus;Fonepad;7 FE170CG 4Gb ;;asus Fonepad 7 FE170CG 4Gb ;;;;;;;;;;;;;;;
планшет;asus;Fonepad;7 FE170CG 8Gb ;;asus Fonepad 7 FE170CG 8Gb ;;;;;;;;;;;;;;;
планшет;asus;Fonepad;7 FE171CG 16Gb ;;asus Fonepad 7 FE171CG 16Gb ;;;;;;;;;;;;;;;
планшет;asus;Fonepad;7 FE375CXG 8Gb ;;asus Fonepad 7 FE375CXG 8Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;8 0 Z380KL 16Gb ;;asus ZenPad 8 0 Z380KL 16Gb ;;;;;;;;;;;;;;;
планшет;asus;Fonepad;8 FE380CG 16Gb ;;asus Fonepad 8 FE380CG 16Gb ;;;;;;;;;;;;;;;
планшет;asus;Fonepad;8 FE380CG 8Gb ;;asus Fonepad 8 FE380CG 8Gb ;;;;;;;;;;;;;;;
планшет;asus;Fonepad;8 FE380CXG 8Gb ;;asus Fonepad 8 FE380CXG 8Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;8 Z380KNL 1Gb 16Gb ;;asus ZenPad 8 Z380KNL 1Gb 16Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Book T100HA 2Gb 32Gb dock ;;asus Transformer Book T100HA 2Gb 32Gb dock ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Book T100HA 2Gb 64Gb dock ;;asus Transformer Book T100HA 2Gb 64Gb dock ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Book T100HA 4Gb 128Gb dock ;;asus Transformer Book T100HA 4Gb 128Gb dock ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Book T100TA 32Gb dock ;;asus Transformer Book T100TA 32Gb dock ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Book T100TA 64Gb dock ;;asus Transformer Book T100TA 64Gb dock ;;;;;;;;;;;;;;;
планшет;ASUS;Transformer;Book T100TA-DK002H 32Gb dock ;;ASUS Transformer Book T100TA-DK002H 32Gb dock ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Book T100TAF 32Gb dock ;;asus Transformer Book T100TAF 32Gb dock ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Book T100TAL 32Gb dock ;;asus Transformer Book T100TAL 32Gb dock ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Book T100TAL 64Gb dock ;;asus Transformer Book T100TAL 64Gb dock ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Book T101HA 2Gb 32Gb dock ;;asus Transformer Book T101HA 2Gb 32Gb dock ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Book T101HA 4Gb 128Gb dock ;;asus Transformer Book T101HA 4Gb 128Gb dock ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Book T101HA 4Gb 64Gb dock ;;asus Transformer Book T101HA 4Gb 64Gb dock ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;C 7 0 Z170C 8Gb ;;asus ZenPad C 7 0 Z170C 8Gb ;;;;;;;;;;;;;;;
планшет;asus;ZenPad;C 7 0 Z170CG 16Gb ;;asus ZenPad C 7 0 Z170CG 16Gb ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;Go ;1;ASUS ZenFone Go ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;Go 16Gb ;;ASUS ZenFone Go 16Gb ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;Go 8Gb ;;ASUS ZenFone Go 8Gb ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;Go TV G550KL ;1;ASUS ZenFone Go TV G550KL ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;Go ZB450KL ;1;ASUS ZenFone Go ZB450KL ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;Go ZB500KG ;1;ASUS ZenFone Go ZB500KG ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;Go ZB500KL ;1;ASUS ZenFone Go ZB500KL ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;Go ZB552KL ;;ASUS ZenFone Go ZB552KL ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;Go ZB552KL 16GB ;;ASUS ZenFone Go ZB552KL 16GB ;;;;;;;;;;;;;;;
телефон;ASUS;Zenfone;Go ZB690KG ;;ASUS Zenfone Go ZB690KG ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;Live ;1;ASUS ZenFone Live ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;Live ZB501KL ;1;ASUS ZenFone Live ZB501KL ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;Live ZB501KL 32Gb ;;ASUS ZenFone Live ZB501KL 32Gb ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;Max 16Gb ;1;ASUS ZenFone Max 16Gb ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;Max Plus M1 ;;ASUS ZenFone Max Plus M1 ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;Max Plus M1 32Gb ;;ASUS ZenFone Max Plus M1 32Gb ;;;;;;;;;;;;;;;
ноутбук;asus;vivobook;max x541nc ;;asus vivobook max x541nc ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;Max ZC550KL 16GB ;;ASUS ZenFone Max ZC550KL 16GB ;;;;;;;;;;;;;;;
планшет;asus;Fonepad;ME371MG 16Gb ;;asus Fonepad ME371MG 16Gb ;;;;;;;;;;;;;;;
планшет;asus;Fonepad;ME371MG 32Gb ;;asus Fonepad ME371MG 32Gb ;;;;;;;;;;;;;;;
планшет;asus;Fonepad;ME372CG 16Gb ;;asus Fonepad ME372CG 16Gb ;;;;;;;;;;;;;;;
планшет;asus;Fonepad;ME372CG 8Gb ;;asus Fonepad ME372CG 8Gb ;;;;;;;;;;;;;;;
планшет;asus;Fonepad;ME372CL 16Gb ;;asus Fonepad ME372CL 16Gb ;;;;;;;;;;;;;;;
планшет;asus;Fonepad;ME373CG 16Gb ;;asus Fonepad ME373CG 16Gb ;;;;;;;;;;;;;;;
телефон;ASUS;PadFone;mini 4 3 ;;ASUS PadFone mini 4 3 ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Mini T102HA 4Gb 128Gb ;;asus Transformer Mini T102HA 4Gb 128Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Mini T102HA 4Gb 64Gb ;;asus Transformer Mini T102HA 4Gb 64Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Mini T103HAF 4Gb 128Gb ;;asus Transformer Mini T103HAF 4Gb 128Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Mini T103HAF 4Gb 64Gb ;;asus Transformer Mini T103HAF 4Gb 64Gb ;;;;;;;;;;;;;;;
планшет;asus;VivoTab;Note 8 M80TA 32Gb ;;asus VivoTab Note 8 M80TA 32Gb ;;;;;;;;;;;;;;;
планшет;asus;VivoTab;Note 8 M80TA 64Gb ;;asus VivoTab Note 8 M80TA 64Gb ;;;;;;;;;;;;;;;
телефон;ASUS;Fonepad;Note FHD6 ;;ASUS Fonepad Note FHD6 ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad 10 ME102A 16Gb ;;asus MeMO Pad 10 ME102A 16Gb ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad 10 ME103K 16Gb ;;asus MeMO Pad 10 ME103K 16Gb ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad 7 ME170C 8Gb ;;asus MeMO Pad 7 ME170C 8Gb ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad 7 ME175CG 8Gb ;;asus MeMO Pad 7 ME175CG 8Gb ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad 7 ME176CX 16Gb ;;asus MeMO Pad 7 ME176CX 16Gb ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad 7 ME176CX 8Gb ;;asus MeMO Pad 7 ME176CX 8Gb ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad 7 ME375CL 16Gb ;;asus MeMO Pad 7 ME375CL 16Gb ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad 7 ME572C 16Gb ;;asus MeMO Pad 7 ME572C 16Gb ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad 7 ME572CL 16Gb ;;asus MeMO Pad 7 ME572CL 16Gb ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad 7 ME572CL 32Gb ;;asus MeMO Pad 7 ME572CL 32Gb ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad 7 ME70C 8Gb ;;asus MeMO Pad 7 ME70C 8Gb ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad 8 ME581CL 16Gb ;;asus MeMO Pad 8 ME581CL 16Gb ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad 8 ME581CL 32Gb ;;asus MeMO Pad 8 ME581CL 32Gb ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad FHD 10 ME302C 16Gb ;;asus MeMO Pad FHD 10 ME302C 16Gb ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad FHD 10 ME302C 32Gb ;;asus MeMO Pad FHD 10 ME302C 32Gb ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad FHD 10 ME302KL 16Gb LTE ;;asus MeMO Pad FHD 10 ME302KL 16Gb LTE ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad FHD 10 ME302KL 32Gb LTE ;;asus MeMO Pad FHD 10 ME302KL 32Gb LTE ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad HD 7 ME173X 16Gb ;;asus MeMO Pad HD 7 ME173X 16Gb ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad HD 7 ME173X 8Gb ;;asus MeMO Pad HD 7 ME173X 8Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad Infinity TF700KL 64Gb 4G ;;asus Transformer Pad Infinity TF700KL 64Gb 4G ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad Infinity TF700T 32Gb ;;asus Transformer Pad Infinity TF700T 32Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad Infinity TF700T 64Gb ;;asus Transformer Pad Infinity TF700T 64Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad Infinity TF700T 64Gb dock ;;asus Transformer Pad Infinity TF700T 64Gb dock ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad Infinity TF701T 32Gb ;;asus Transformer Pad Infinity TF701T 32Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad Infinity TF701T 32Gb dock ;;asus Transformer Pad Infinity TF701T 32Gb dock ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad ME172V 16Gb ;;asus MeMO Pad ME172V 16Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad Prime TF201 32Gb ;;asus Transformer Pad Prime TF201 32Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad Prime TF201 64Gb ;;asus Transformer Pad Prime TF201 64Gb ;;;;;;;;;;;;;;;
планшет;asus;MeMO;Pad Smart ME301T 16Gb ;;asus MeMO Pad Smart ME301T 16Gb ;;;;;;;;;;;;;;;
планшет;ASUS;Transformer;Pad TF0310C-A1-BK 16Gb ;;ASUS Transformer Pad TF0310C-A1-BK 16Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad TF103C 16Gb ;;asus Transformer Pad TF103C 16Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad TF103C 16Gb dock ;;asus Transformer Pad TF103C 16Gb dock ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad TF103CG 16Gb ;;asus Transformer Pad TF103CG 16Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad TF103CG 16Gb dock ;;asus Transformer Pad TF103CG 16Gb dock ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad TF103CG 8Gb ;;asus Transformer Pad TF103CG 8Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad TF103CG 8Gb dock ;;asus Transformer Pad TF103CG 8Gb dock ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad TF300T 16Gb ;;asus Transformer Pad TF300T 16Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad TF300T 32Gb ;;asus Transformer Pad TF300T 32Gb ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad TF300T 32Gb dock ;;asus Transformer Pad TF300T 32Gb dock ;;;;;;;;;;;;;;;
