acer;ноутбук;emachines
asus;планшет;Transformer
asus;планшет;MeMO
asus;планшет;Eee
asus;ноутбук;eee
dell;планшет;Streak
hp;планшет;Omni
hp;планшет;TouchPad
hp;ноутбук;compaq
HTC;телефон;U
HTC;телефон;Lead
HTC;телефон;U11
HTC;телефон;MAX
HTC;телефон;Explorer
HTC;телефон;Touch
HTC;телефон;HD
HTC;телефон;7
HTC;телефон;Google
HTC;телефон;Wildfire
HTC;телефон;J
Huawei;телефон;Nova
Huawei;телефон;Y5
Huawei;телефон;Y3
Huawei;телефон;Y7
Huawei;телефон;P10
Huawei;телефон;Y6
Huawei;телефон;U8950
Huawei;телефон;P8
Huawei;телефон;P9
Lenovo;ноутбук;y70
Lenovo;ноутбук;g780
Lenovo;телефон;P780
Lenovo;телефон;S820
Lenovo;телефон;K3
Lenovo;телефон;K6
Lenovo;телефон;K5
Lenovo;телефон;IdeaPhone
Lenovo;телефон;A6010
Lenovo;телефон;Sisley
Lenovo;ноутбук;legion
Meizu;телефон;U10
Meizu;телефон;M5c
Meizu;телефон;M3s
Meizu;телефон;M5
Meizu;телефон;M6
Samsung;планшет;Nexus
Samsung;телефон;Wave
Samsung;телефон;Giorgio
Samsung;телефон;GT
Samsung;телефон;SGH
Samsung;телефон;S3650
Samsung;телефон;B5722
Samsung;телефон;D980
Samsung;телефон;SM
Samsung;телефон;Star
samsung;ноутбук;r530
Samsung;телефон;C3520
Samsung;телефон;Corby
Samsung;телефон;Ego
Samsung;телефон;ATIV
samsung;планшет;ATIV
Samsung;телефон;S5260
Samsung;телефон;Omnia
Samsung;телефон;S8500
Samsung;телефон;S5250
Samsung;телефон;S7250
Sony;телефон;Ericsson
Sony;телефон;Hazel
sony;планшет;Tablet
Sony;телефон;Vivaz
Sony;телефон;Satio
Sony;телефон;Aino
Sony;телефон;Live
Sony;телефон;W20i
Xiaomi;телефон;Mi4
Xiaomi;телефон;Mi4c
Xiaomi;телефон;Mi4i
Xiaomi;телефон;Rice
Xiaomi;телефон;Hongmi
Xiaomi;телефон;Mi2S
Xiaomi;телефон;Mi5
