планшет;Asus;Zenpad
смартфон;Asus;Zenfone
ноутбук;Asus;Zenbook
планшет;Lenovo;Yoga Tablet
ноутбук;Dell;Xps
моноблок;Dell;XPS
смартфон;Sony;Xperia Z
планшет;Sony;Xperia Z
смартфон;Sony;Xperia XA
смартфон;Sony;Xperia XZ
смартфон;Sony;Xperia X
планшет;Sony;Xperia Tablet
смартфон;Sony;Xperia M
смартфон;Sony;Xperia L
смартфон;Sony;Xperia H
смартфон;Sony;Xperia E
ноутбук;Dell;Vostro
планшет;Asus;Vivotab
смартфон;Lenovo;Vibe
ноутбук;Sony;Vaio Fit
ноутбук;Sony;Vaio
ноутбук;Acer;Travelmate
планшет;Lenovo;Tab
ноутбук;Toshiba;Satellite
планшет;Toshiba;Satellite
смартфон;Xiaomi;Redmi
ноутбук;HP;ProBook
ноутбук;HP;Pavilion
моноблок;HP;Pavilion
смартфон;Asus;Padfone
смартфон;Huawei;P
планшет;Asus;Nexus
смартфон;Meizu;Mx
планшет;Lenovo;Miix
ноутбук;Xiaomi;Mi
смартфон;Xiaomi;Mi
планшет;Asus;Memo Pad
планшет;Huawei;Mediapad
ноутбук;Apple;MacBook Pro
планшет;Apple;iPad Pro
планшет;Apple;iPad Mini
планшет;Apple;iPad Air
ноутбук;Dell;Inspiron
моноблок;Dell;Inspiron
ноутбук;Lenovo;Ideapad
планшет;Acer;Iconia Talk
планшет;Acer;Iconia Tab
планшет;Acer;Iconia One
смартфон;Huawei;Honor
смартфон;Huawei;G
планшет;Asus;Fonepad
моноблок;HP;ENVY
ноутбук;HP;EliteBook
ноутбук;Asus;Eee Pc
смартфон;HTC;Desire
ноутбук;Acer;Aspire
смартфон;Huawei;Ascend
